,snapped_at,price,market_cap,total_volume,stars,forks,issues_opened,issues_closed,pulls_opened,pulls_merged,pulls_closed,commits,issue_comments
137,2015-12-23,0.8675654552724993,65674405.654046126,333657.8603050268,0,0,0,1,0,0,0,2,3
138,2015-12-24,0.861363016488459,65226512.003279686,353090.34035883,0,0,1,0,1,0,0,0,3
139,2015-12-25,0.8707183439745884,65957619.83793369,169208.7604895867,0,0,0,0,0,0,0,0,4
140,2015-12-26,0.8530178649009634,64637552.400460914,424123.09670471714,0,0,1,0,0,0,0,0,3
141,2015-12-27,0.8588870868776094,65104495.77797423,208247.21865890335,0,0,0,0,1,0,0,0,3
142,2015-12-28,0.8421696130307879,63858382.55360898,228592.5875954824,0,0,1,1,1,0,0,1,3
143,2015-12-29,0.8694878107781919,65951485.1558242,211396.56750766764,0,0,0,0,1,0,0,1,3
144,2015-12-30,0.9003543017405369,68315404.54669571,584414.4705682999,0,0,1,0,3,1,0,4,3
145,2015-12-31,0.9365399677803522,71083912.69961053,668846.07044826,0,0,0,0,0,0,0,0,4
146,2016-01-01,0.9463133430749894,71849843.66511223,202032.1333686356,0,0,0,0,1,0,0,0,3
147,2016-01-02,0.9381261621726148,71252107.9687766,252880.2353165073,0,0,0,0,0,0,0,0,1
148,2016-01-03,0.9721969755035614,73864483.22222728,402755.9084078687,0,0,0,0,0,0,0,0,2
149,2016-01-04,0.9592978352147374,72909192.00505088,341506.82136802946,0,0,2,4,0,0,0,0,2
150,2016-01-05,0.9531022411427652,72462361.87937805,217443.23809763332,0,0,1,0,1,2,0,3,2
151,2016-01-06,0.9684340117908704,73650960.93328463,328507.1523817127,0,0,0,0,0,0,0,1,2
152,2016-01-07,0.9589767803876824,72931723.30621576,642269.5176489778,0,0,2,0,1,1,1,0,2
153,2016-01-08,0.9955747811931686,75767382.4398899,554403.4018238547,0,0,0,5,2,1,0,3,2
154,2016-01-09,1.02478096778813,78016544.33428131,254045.62911324683,0,0,0,2,0,0,0,0,2
155,2016-01-10,1.01996585607406,77676004.65241879,404315.9349620729,0,0,0,0,0,0,0,0,2
156,2016-01-11,1.068726621062779,81416101.6377075,1025253.0383450064,0,0,0,0,5,1,1,3,2
157,2016-01-12,1.167362900827917,88958959.89936547,2962550.3945903103,0,0,2,2,0,0,1,1,1
158,2016-01-13,1.12958834642001,86108971.48293594,1003321.3604582712,0,0,1,0,2,0,0,2,2
159,2016-01-14,1.157377553252501,88257219.96322113,731050.8483768429,0,0,4,2,0,1,0,1,2
160,2016-01-15,1.21073546288485,92329493.82516772,4049516.212452064,0,0,1,0,1,0,0,0,3
161,2016-01-16,1.215691295024754,92765190.35300171,2377737.1425659666,0,0,1,0,0,0,0,0,3
162,2016-01-17,1.321855711753408,100866229.13386132,1176009.00668505,0,0,0,1,0,0,0,0,1
163,2016-01-18,1.39830112692888,106770204.99600992,4073710.1202780646,0,0,1,0,2,0,0,1,2
164,2016-01-19,1.3769900190471,105177492.60810892,1684557.2914079635,0,0,0,0,1,1,1,4,2
165,2016-01-20,1.565411904541257,119608403.90910526,2899771.051018662,0,0,3,1,3,2,1,5,2
166,2016-01-21,1.544691862235827,118064297.75775222,1670627.3218903034,0,0,1,0,2,0,1,3,2
167,2016-01-22,1.471341822504971,112494896.69290043,1585027.991812104,0,0,1,2,4,1,0,4,1
168,2016-01-23,1.692156284936261,129390552.65124127,2212028.797157309,0,0,0,0,0,0,0,0,1
169,2016-01-24,2.131691495370684,163090024.6945184,9578400.618786106,0,0,0,0,1,0,0,1,2
170,2016-01-25,2.48139608647395,189898537.77611715,10884776.210849363,0,0,2,1,0,1,0,1,3
171,2016-01-26,2.086782726986503,159744115.0673894,11669540.231742326,0,0,1,0,0,1,0,5,2
172,2016-01-27,2.384501158704437,182534589.0343229,7048626.2187527,0,0,2,1,2,0,0,2,2
173,2016-01-28,2.519719734523484,193030853.2041578,5043090.697552952,0,0,2,1,1,2,1,3,2
174,2016-01-29,2.486203232055895,190524391.8350728,6527897.661629626,0,0,3,1,2,0,0,0,2
175,2016-01-30,2.437601273512591,186862759.721514,3674090.3975050296,0,0,0,0,2,0,0,1,1
176,2016-01-31,2.298766557449123,176275775.71473008,5834817.706592737,0,0,0,2,1,2,1,3,1
177,2016-02-01,2.221883059355513,170434539.30474818,3991411.341435245,0,0,0,0,2,1,0,2,1
178,2016-02-02,2.403111855327034,184396131.5986807,3602402.308067327,0,0,0,1,3,2,3,5,4
179,2016-02-03,2.515949933456795,193120920.3597334,4030697.3392438097,0,0,0,0,0,6,0,8,3
180,2016-02-04,2.557178944302694,196350197.91323307,3532651.020271136,0,0,2,1,1,0,0,1,2
181,2016-02-05,2.532878565491474,194548161.01786965,2640353.6147680376,0,0,3,1,3,3,1,6,2
182,2016-02-06,2.517776369343559,193450250.47357807,1924574.7180617016,0,0,1,0,0,1,0,1,2
183,2016-02-07,2.950776113177157,226795324.2095453,7099203.551903944,0,0,1,0,1,0,1,0,2
184,2016-02-08,3.165335693696386,243366581.58299115,9781404.736808997,0,0,2,2,2,1,0,3,2
185,2016-02-09,3.720453286688504,286139280.9840226,16355217.945349474,0,0,4,3,2,2,0,8,4
186,2016-02-10,4.427431437703359,340624194.15097886,29316397.613274623,0,0,3,8,2,1,0,3,3
187,2016-02-11,6.005000308112697,462140079.76210976,28752968.92366525,0,0,5,1,3,2,0,4,2
188,2016-02-12,5.475649283683189,421542668.4566254,9902598.24407914,0,0,3,0,1,0,1,3,4
189,2016-02-13,5.373284921940013,413798928.6182676,25637385.47989728,0,0,3,5,1,2,0,4,3
190,2016-02-14,5.169512436402438,398234915.54443055,11552061.707776096,0,0,1,2,0,1,0,1,3
191,2016-02-15,5.319058286377442,409885035.83075976,13786358.783861184,0,0,3,2,2,0,0,4,4
192,2016-02-16,4.368970122064963,336781865.25572217,15444552.58629855,0,0,0,3,2,0,0,5,3
193,2016-02-17,3.744022470740231,288700599.2729368,14847989.04999859,0,0,3,1,0,1,1,1,2
194,2016-02-18,4.397939042003922,339233532.70569825,17707643.869024027,0,0,0,0,0,0,0,0,2
195,2016-02-19,4.493895382965731,346746765.74089813,7215680.13205692,0,0,3,1,5,5,0,6,3
196,2016-02-20,4.301875677560981,332040532.28508496,8703306.94050525,0,0,2,1,4,0,0,9,2
197,2016-02-21,4.653970273276003,359334417.7208708,6458218.23306439,0,0,3,1,1,0,1,9,4
198,2016-02-22,5.608714257576696,433193897.2217689,15140246.890369603,0,0,2,0,1,0,0,0,1
199,2016-02-23,5.612091439849516,433593972.8044955,13534870.66434678,0,0,4,2,4,4,2,6,1
200,2016-02-24,6.134381259039694,474102955.518581,11396482.659191374,0,0,4,0,3,5,1,7,1
201,2016-02-25,5.93625743323269,458942242.84471726,20614025.807056963,0,0,1,0,1,0,0,1,2
202,2016-02-26,5.897351626440898,456082096.8564275,9515283.257397331,0,0,2,1,3,2,0,5,2
203,2016-02-27,6.357091762158404,491795616.48932266,8967228.051799431,0,0,0,1,1,0,0,1,2
204,2016-02-28,6.440650848847282,498424354.0122196,9683081.005927766,0,0,1,0,0,0,0,0,2
205,2016-02-29,6.312028458049726,488620056.2443799,7546069.554011689,0,0,1,2,2,4,0,7,1
206,2016-03-01,7.560157049617909,585403826.3853717,20945587.168326743,0,0,2,2,5,3,0,6,2
207,2016-03-02,8.398318163034869,650547162.2177418,29743237.91160961,0,0,1,1,1,2,0,4,3
208,2016-03-03,9.504937042998195,736507630.9102448,40441406.84649935,0,0,3,2,4,2,1,4,5
209,2016-03-04,10.03776475108964,778040245.1399581,35604151.84878607,0,0,1,0,1,0,0,1,4
210,2016-03-05,10.93519773927983,847886363.7817264,54303350.00956653,0,0,3,1,1,0,0,0,3
211,2016-03-06,10.96466178163567,850440219.9342833,41487265.46159489,0,0,3,2,0,0,0,0,4
212,2016-03-07,9.397469868813554,729122199.5218774,31891736.915083926,0,0,4,12,1,1,0,3,3
213,2016-03-08,9.800690787314164,760648959.2261459,26473661.601431254,0,0,5,1,4,3,0,6,3
214,2016-03-09,11.97157975649351,929438076.2759756,28637679.638494223,0,0,4,2,1,1,1,1,4
215,2016-03-10,11.2064229700308,870327228.7272445,26154096.467449,0,0,2,1,4,4,0,7,3
216,2016-03-11,11.20893669288255,870802676.0308328,21083465.44431248,0,0,1,1,2,3,0,6,3
217,2016-03-12,13.37620667356022,1039511436.039522,49863322.38648788,0,0,2,0,0,0,0,0,3
218,2016-03-13,14.89359978457807,1157819808.965224,41625885.68412731,0,0,2,2,0,0,0,0,4
219,2016-03-14,12.28982460670519,955721344.445704,56738456.43221119,0,0,6,5,6,3,2,6,4
220,2016-03-15,12.966897673599,1008754617.7585648,30654519.10842079,0,0,3,1,6,4,1,9,4
221,2016-03-16,12.52943314528079,975104638.0634547,23016882.43185901,0,0,2,0,4,3,1,6,4
222,2016-03-17,10.956232214701,856001603.1676563,41222397.150388725,0,0,3,0,2,1,1,3,2
223,2016-03-18,10.79765033887468,843946887.9342747,56331932.49799413,0,0,2,1,0,0,1,3,3
224,2016-03-19,10.43953586817164,816289545.7437397,26241552.22233686,0,0,1,2,1,0,0,1,3
225,2016-03-20,10.21749097388716,799245003.4284257,17365910.955602583,0,0,2,0,1,0,0,0,3
226,2016-03-21,11.85112269425594,927407651.003754,28692538.03850463,0,0,0,0,0,0,1,3,4
